id,timestamp,category,subcategory,headline,detail,location_name,lat,lng,country,sources,confidence,briefingRef,reported_killed,reported_injured,casualty_source
evt-011,2026-03-02T06:00:00Z,economic,energy_disruption,"QatarEnergy halts LNG shipments","QatarEnergy suspends LNG exports through Strait of Hormuz. Force majeure expected across Gulf producers.","Qatar",25.276,51.52,QA,"QatarEnergy; Reuters",CONFIRMED,2026-03-02-1800,0,0,"N/A"
evt-012,2026-03-02T08:00:00Z,naval,strait_closure,"IRGC formally declares Hormuz closed","IRGC formally announces closure of Strait of Hormuz. Selective enforcement: Chinese vessels observed transiting. Down to 2 transits/day from normal 50+.","Strait of Hormuz",26.5667,56.25,IR,"IRGC; Reuters; Tanker Trackers",CONFIRMED,2026-03-02-1800,0,0,"N/A"
evt-013,2026-03-02T12:00:00Z,military,nuclear_strike,"Natanz nuclear site struck again — 2nd attack","Second strike on Natanz nuclear facility. IAEA later confirms damage. Nuclear-specific damage not fully confirmed.","Natanz, Isfahan Province",33.7244,51.7275,IR,"IAEA; CENTCOM",CONFIRMED,2026-03-02-1800,,,"Classified"
evt-014,2026-03-02T18:00:00Z,military,leadership_decapitation,"White House confirms 49 senior Iranian leaders killed","White House announces 49 senior Iranian military and political leaders killed since start of operations. 7 confirmed by Iranian media on Day 1.","Iran (multiple locations)",32.4279,53.688,IR,"White House; Iranian state media",CONFIRMED,2026-03-02-1800,49,,"White House"
evt-015,2026-03-03T02:00:00Z,military,embassy_attack,"US Embassy Riyadh struck by drones","IRGC drones strike US Embassy compound in Riyadh, Saudi Arabia.","US Embassy, Riyadh",24.7136,46.6753,SA,"Reuters; State Department",CONFIRMED,2026-03-03-0200,,,"Not disclosed"
evt-016,2026-03-03T06:00:00Z,diplomatic,coalition_expansion,"E3 (UK, France, Germany) enters war","European E3 declares readiness to 'destroy' Iran capabilities. Macron delivers speech from nuclear submarine. France deploys carrier.","Europe / Mediterranean",48.8566,2.3522,FR,"Élysée Palace; UK MOD; Bundestag",CONFIRMED,2026-03-03-0800,0,0,"N/A"
evt-017,2026-03-03T10:00:00Z,military,c2_destruction,"CENTCOM destroys IRGC command & control network","CENTCOM announces destruction of IRGC C2 infrastructure. IDF conducts simultaneous strikes on Tehran and Beirut.","Tehran + Beirut",35.6892,51.389,IR,"CENTCOM; IDF",CONFIRMED,2026-03-03-0500,,,"Not disclosed"
evt-018,2026-03-03T15:00:00Z,military,nuclear_strike,"Secret nuclear facility destroyed","Previously unknown nuclear facility destroyed. Parchin struck twice. Nuclear-specific damage assessment ongoing.","Parchin Military Complex",35.52,51.77,IR,"CENTCOM; IAEA",CONFIRMED,2026-03-04-0100,,,"Classified"
evt-019,2026-03-03T18:00:00Z,political,governance_attack,"Assembly of Experts attacked during succession vote","Strike on Assembly of Experts during session to vote on Khamenei succession. Mojtaba Khamenei named successor despite attack.","Tehran",35.6892,51.389,IR,"Iranian state TV; Reuters",CONFIRMED,2026-03-04-0100,,,"Not confirmed"
evt-020,2026-03-04T08:00:00Z,naval,ship_sinking,"US submarine sinks IRIS Dena — first torpedo kill since WWII","US submarine torpedoes and sinks Iranian frigate IRIS Dena off Sri Lanka. First US submarine torpedo kill since World War II.","Indian Ocean, off Sri Lanka",7.8731,80.7718,LK,"Pentagon; CNN; Naval analysts",CONFIRMED,2026-03-04-0800,,,"Iranian crew status unknown"
evt-021,2026-03-04T10:00:00Z,military,nato_intercept,"NATO intercepts Iranian missile heading toward Turkey","NATO air defenses intercept Iranian ballistic missile on trajectory toward Turkey. EU later condemns attacks on Turkey and Azerbaijan specifically.","Turkey (southern border)",37,35.3213,TR,"NATO; Reuters",CONFIRMED,2026-03-04-0800,0,0,"NATO"
evt-022,2026-03-04T12:00:00Z,military,air_combat,"F-35 scores first air-to-air kill","US F-35 achieves first confirmed air-to-air kill in combat. Also: 3 F-15E lost to friendly fire (separate incident).","Iranian airspace",33,52,IR,"CENTCOM; Defense analysts",CONFIRMED,2026-03-04-0800,,,"Not disclosed"
evt-023,2026-03-04T20:00:00Z,political,us_congress,"Senate war powers resolution fails 47-53","US Senate vote on war powers resolution to constrain Iran operations fails 47-53. House war powers later also defeated.","Washington, DC",38.9072,-77.0369,US,"C-SPAN; AP",CONFIRMED,2026-03-04-2000,0,0,"N/A"
evt-024,2026-03-05T06:00:00Z,military,regional_escalation,"IRGC drones strike Azerbaijan","Iranian drones strike targets in Azerbaijan. Azerbaijan halts cross-border traffic, prepares retaliatory measures.","Azerbaijan",40.4093,49.8671,AZ,"Azerbaijan MOD; Reuters",CONFIRMED,2026-03-05-0800,,,"Azerbaijan MOD"
evt-025,2026-03-05T08:00:00Z,civilian,infrastructure_destruction,"Azadi Stadium destroyed","Tehran's Azadi Stadium, Iran's largest sports venue, destroyed in strikes.","Azadi Stadium, Tehran",35.7228,51.2779,IR,"Iranian media; satellite imagery",CONFIRMED,2026-03-05-0800,,,"Unknown"
evt-026,2026-03-05T10:00:00Z,economic,energy_disruption,"BAPCO refinery in Bahrain hit — fire contained","Bahrain Petroleum Company (BAPCO) refinery struck by IRGC drones/missiles. Fire eventually contained. Bahrain total: 221 projectiles intercepted.","Sitra, Bahrain",26.15,50.61,BH,"Bahrain MOD; Reuters",CONFIRMED,2026-03-05-2000,1,6,"Bahrain government"
evt-027,2026-03-05T18:00:00Z,political,us_demands,"Trump demands role in choosing Iran's next leader","Trump states 'I have to be involved' in selecting Iran's next leader. Called Mojtaba 'a lightweight.' Later: 'Maybe' to religious leader IF pro-US/Israel.","Washington, DC",38.9072,-77.0369,US,"Truth Social; White House briefing",CONFIRMED,2026-03-05-2000,0,0,"N/A"
evt-028,2026-03-06T06:00:00Z,military,bunker_buster,"B-2 strikes underground sites; Khamenei bunker destroyed","B-2 bombers deploy penetrator munitions on deep underground facilities including Khamenei's bunker. Phase 2 officially begins. 'Space Command equivalent' facility also targeted.","Iran (multiple deep targets)",35.6892,51.389,IR,"CENTCOM; Pentagon",CONFIRMED,2026-03-06-0800,,,"Unknown — officials possibly inside"
evt-029,2026-03-06T09:00:00Z,military,escalation,"Iran regular Army enters combat","Iran's conventional Army (Artesh) formally enters combat alongside IRGC. Will 'expand attacks in coming days.' 610,000 active forces (350K army + 190K IRGC).","Iran (nationwide)",32.4279,53.688,IR,"Iranian state media; Reuters",CONFIRMED,2026-03-06-0800,0,0,"N/A"
evt-030,2026-03-06T14:00:00Z,political,us_demands,"Trump demands 'UNCONDITIONAL SURRENDER' on Truth Social","Trump posts demand for unconditional surrender. Axios clarifies: means total military destruction, not formal capitulation. Leavitt announces 4-6 week timeline — first official estimate.","Washington, DC",38.9072,-77.0369,US,"Truth Social; Axios; White House",CONFIRMED,2026-03-06-2000,0,0,"N/A"
evt-031,2026-03-06T17:00:00Z,naval,naval_warfare,"25 Iranian warships struck; navy 'destroyed' — Trump/CNN","Trump claims via CNN that 25 Iranian warships have been struck. IRIS Shahid Bagheri burning (sinking unconfirmed). Iran retaliates by striking 'US-owned' oil tanker off Kuwait.","Persian Gulf",27,51,IR,"Trump/CNN; Iranian media",CONFIRMED,2026-03-06-2000,,,"Not disclosed"
evt-032,2026-03-06T18:00:00Z,intelligence,foreign_support,"Haaretz: Russia providing Iran intelligence on US forces","Haaretz reports Russia sharing intelligence with Iran on US force positions. If confirmed: near co-belligerency. Kremlin positioning as energy beneficiary.","Russia → Iran",55.7558,37.6173,RU,"Haaretz",REPORTED,2026-03-06-2000,0,0,"N/A"
evt-033,2026-03-06T19:00:00Z,military,kurdish_operations,"Kurdish leaders confirm US/Israel coordination — ground op 'within week'","Kurdish leaders confirm to Reuters/Al Jazeera direct coordination with US and Israel for over a year. 5,000-6,000 fighters on Iraqi border. Ground operation 'very likely within a week.' Reza Pahlavi named as opposition candidate.","Iraqi-Iranian border (Kurdistan)",36.1901,44.0091,IQ,"Reuters; Al Jazeera",CONFIRMED,2026-03-06-2000,0,0,"N/A"
evt-034,2026-03-06T20:00:00Z,naval,commercial_shipping,"Iran strikes oil tanker off Kuwait — commercial shipping warfare escalation","Iran strikes 'US-owned' oil tanker off Kuwait coast. Tanker on fire. Represents new escalation into commercial shipping warfare.","Off Kuwait coast",29.2,48.5,KW,"Reuters; shipping industry sources",CONFIRMED,2026-03-06-2000,,,"Unknown"
evt-035,2026-03-06T20:00:00Z,military,airstrike,"Mehrabad airbase (Tehran) struck overnight","Mehrabad airbase in Tehran hit by coalition strikes. Damage assessment pending.","Mehrabad Airbase, Tehran",35.6892,51.3115,IR,"CENTCOM",CONFIRMED,2026-03-06-2000,,,"Not disclosed"
evt-036,2026-03-06T21:00:00Z,military,displacement_order,"IDF issues displacement order for Qom — first inside Iran","IDF issues civilian displacement order for the city of Qom. First such order issued for a location inside Iran proper.","Qom",34.6416,50.8746,IR,"IDF",CONFIRMED,2026-03-06-2000,0,0,"N/A"
evt-037,2026-03-06T21:00:00Z,civilian,school_strike,"Tehran elementary school (#4) struck","Fourth school hit in the conflict. Tehran elementary school struck. Previous schools: Minab, Parand (x2).","Tehran",35.6892,51.389,IR,"Iranian media",CONFIRMED,2026-03-06-2000,,,"Not yet reported"
evt-038,2026-03-06T22:00:00Z,economic,oil_price,"WTI hits $92; Qatar warns $150 in 2-3 weeks","WTI crude spikes to $92 (from ~$79-81 pre-war). Brent at $87. Qatar warns of $150/bbl in 2-3 weeks if Hormuz stays closed.","Global markets",40.7128,-74.006,US,"Reuters; Bloomberg; Qatar Energy Ministry",CONFIRMED,2026-03-06-2000,0,0,"N/A"
evt-039,2026-03-06T23:00:00Z,military,naval_movement,"USS Gerald R. Ford enters Red Sea via Suez","USS Gerald R. Ford carrier strike group transits Suez Canal into Red Sea.","Red Sea (via Suez Canal)",30.45,32.35,EG,"US Navy; Reuters",CONFIRMED,2026-03-06-2000,0,0,"N/A"
evt-040,2026-03-06T23:00:00Z,military,regional_attack,"Baghdad Airport area struck by Iranian missiles","Iranian missiles hit Baghdad Airport area. Iraq PM states will not allow territory used as attack platform. Total Iraq dead: 13.","Baghdad International Airport",33.2625,44.2346,IQ,"Iraqi PM office; Reuters",CONFIRMED,2026-03-06-2000,13,,"Iraqi government (cumulative)"
evt-041,2026-03-06T12:00:00Z,civilian,cultural_heritage,"Golestan Palace (UNESCO World Heritage) hit","Golestan Palace in Tehran, a UNESCO World Heritage Site, damaged in strikes. Tel Aviv Bauhaus heritage also damaged.","Golestan Palace, Tehran",35.6762,51.4215,IR,"Iranian media; UNESCO",CONFIRMED,2026-03-06-2000,,,"Unknown"
evt-042,2026-03-05T12:00:00Z,military,dahiya_strikes,"IDF Dahiya bombardment — 26 strikes, 123+ dead in Lebanon","IDF conducts 26 strikes on Dahiya district of Beirut. IRGC Air Force command and Hezbollah naval HQ destroyed. Lebanon: 217 dead total, 798 wounded, 95,000 displaced. 700,000 affected by Beirut evacuation order.","Dahiya, Beirut",33.84,35.48,LB,"IDF; Lebanese Red Cross; Reuters",CONFIRMED,2026-03-05-2000,217,798,"Lebanese authorities (cumulative)"
evt-043,2026-03-05T14:00:00Z,military,coalition_defense,"Jordan actively shooting down Iranian drones — new defensive belligerent","Jordan begins actively intercepting Iranian drones over Irbid. Becomes new defensive belligerent in conflict.","Irbid, Jordan",32.5568,35.8469,JO,"Jordanian military; Reuters",CONFIRMED,2026-03-06-2000,0,0,"N/A"
evt-044,2026-03-05T16:00:00Z,economic,sanctions_waiver,"Maersk suspends all Gulf bookings; European naval coalition forms","Maersk suspends Persian Gulf bookings. P&I insurance cancelled for Gulf region. European naval coalition (UK, France, Greece, Italy, Portugal, Spain) forms.","Persian Gulf",27,51,,"Maersk; Reuters; EU",CONFIRMED,2026-03-05-0800,0,0,"N/A"
evt-045,2026-03-06T10:00:00Z,civilian,casualty_milestone,"Iranian Red Crescent: 1,332 dead, 6,000+ wounded","Running totals per Iranian Red Crescent: 1,332 dead, 6,000+ wounded. UNICEF: 181 children killed. 3,090 residential + 528 commercial units destroyed. 13 medical facilities hit (WHO). Internet blackout 144+ hours.","Iran (nationwide)",32.4279,53.688,IR,"Iranian Red Crescent; UNICEF; WHO",REPORTED,2026-03-06-2000,1332,6000,"Iranian Red Crescent"
